,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
3088,05-05-2008,RELIANCE,EQ,2674.75,2675.1,2709.0,2650.0,2670.0,2669.2,2680.23,2103808,564000000000000.0,735446.0,0.3496
3089,06-05-2008,RELIANCE,EQ,2669.2,2600.0,2682.0,2600.0,2645.25,2650.0,2656.21,2103076,559000000000000.0,880104.0,0.4185
3090,07-05-2008,RELIANCE,EQ,2650.0,2700.0,2700.0,2624.0,2689.05,2688.95,2665.76,2549324,680000000000000.0,1195365.0,0.4689
3091,08-05-2008,RELIANCE,EQ,2688.95,2680.0,2686.0,2652.6,2665.0,2667.25,2670.44,1894271,506000000000000.0,711159.0,0.3754
3092,09-05-2008,RELIANCE,EQ,2667.25,2665.5,2673.65,2510.0,2534.3,2528.4,2590.15,3507684,909000000000000.0,1574445.0,0.4489
3093,12-05-2008,RELIANCE,EQ,2528.4,2511.05,2564.1,2477.1,2555.0,2553.85,2513.76,2761164,694000000000000.0,814952.0,0.2951
3094,13-05-2008,RELIANCE,EQ,2553.85,2600.0,2600.0,2488.0,2500.1,2501.1,2534.82,2600800,659000000000000.0,1014594.0,0.3901
3095,14-05-2008,RELIANCE,EQ,2501.1,2520.0,2555.05,2480.25,2527.0,2530.75,2521.72,2009835,507000000000000.0,711147.0,0.3538
3096,15-05-2008,RELIANCE,EQ,2530.75,2530.9,2632.7,2530.75,2620.0,2622.95,2588.62,2500502,647000000000000.0,1209990.0,0.4839
3097,16-05-2008,RELIANCE,EQ,2622.95,2631.0,2648.0,2603.0,2640.0,2635.7,2623.65,1933723,507000000000000.0,808361.0,0.418
3098,20-05-2008,RELIANCE,EQ,2635.7,2625.0,2635.0,2574.0,2600.25,2602.95,2604.97,1777614,463000000000000.0,847522.0,0.4768
3099,21-05-2008,RELIANCE,EQ,2602.95,2580.0,2675.0,2550.25,2669.65,2667.7,2653.1,3334889,885000000000000.0,1865435.0,0.5594
3100,22-05-2008,RELIANCE,EQ,2667.7,2635.0,2650.0,2597.0,2630.0,2626.05,2623.63,2387252,626000000000000.0,898926.0,0.3766
3101,23-05-2008,RELIANCE,EQ,2626.05,2630.0,2640.0,2550.0,2550.0,2556.2,2592.61,2063402,535000000000000.0,977383.0,0.4737
3102,26-05-2008,RELIANCE,EQ,2556.2,2540.0,2554.85,2502.1,2525.9,2515.6,2526.42,2662132,673000000000000.0,1367145.0,0.5136
3103,27-05-2008,RELIANCE,EQ,2515.6,2560.0,2589.8,2480.0,2485.05,2495.1,2525.75,1747866,441000000000000.0,555957.0,0.3181
3104,28-05-2008,RELIANCE,EQ,2495.1,2505.0,2535.0,2471.0,2516.55,2522.5,2508.67,2157344,541000000000000.0,909965.0,0.4218
3105,29-05-2008,RELIANCE,EQ,2522.5,2555.45,2555.45,2445.0,2467.0,2462.7,2495.24,4122995,1030000000000000.0,2799522.0,0.679
3106,30-05-2008,RELIANCE,EQ,2462.7,2498.9,2498.9,2390.25,2401.1,2403.5,2425.81,3588787,871000000000000.0,1451474.0,0.4044
3107,02-06-2008,RELIANCE,EQ,2403.5,2428.0,2440.0,2340.0,2340.35,2358.8,2380.0,2742514,653000000000000.0,1197440.0,0.4366
3108,03-06-2008,RELIANCE,EQ,2358.8,2350.0,2424.9,2313.0,2410.0,2406.65,2393.74,3612031,865000000000000.0,1685503.0,0.4666
3109,04-06-2008,RELIANCE,EQ,2406.65,2409.0,2444.0,2285.0,2292.0,2307.0,2366.32,3894687,922000000000000.0,1401631.0,0.3599
3110,05-06-2008,RELIANCE,EQ,2307.0,2350.0,2350.0,2175.0,2247.0,2246.8,2244.19,7716138,1730000000000000.0,3907281.0,0.5064
3111,06-06-2008,RELIANCE,EQ,2246.8,2299.0,2299.0,2212.0,2233.25,2238.5,2251.67,4965105,1120000000000000.0,1986767.0,0.4001
3112,09-06-2008,RELIANCE,EQ,2238.5,2182.0,2219.4,2111.0,2170.0,2162.7,2169.09,5229890,1130000000000000.0,1935623.0,0.3701
3113,10-06-2008,RELIANCE,EQ,2162.7,2250.0,2250.0,2145.0,2212.0,2197.75,2185.17,4559201,996000000000000.0,1608353.0,0.3528
3114,11-06-2008,RELIANCE,EQ,2197.75,2280.0,2280.0,2210.0,2265.0,2261.4,2245.9,4785355,1070000000000000.0,2377918.0,0.4969
3115,12-06-2008,RELIANCE,EQ,2261.4,2250.05,2295.0,2156.35,2276.35,2277.3,2225.93,5237223,1170000000000000.0,1821893.0,0.3479
3116,13-06-2008,RELIANCE,EQ,2277.3,2287.0,2299.9,2235.0,2264.15,2270.4,2277.54,3499671,797000000000000.0,1590207.0,0.4544
3117,16-06-2008,RELIANCE,EQ,2270.4,2350.0,2350.0,2262.2,2277.35,2282.35,2290.72,3163129,725000000000000.0,1441492.0,0.4557
3118,17-06-2008,RELIANCE,EQ,2282.35,2280.05,2340.0,2260.0,2338.25,2332.9,2302.33,2493500,574000000000000.0,731128.0,0.2932
3119,18-06-2008,RELIANCE,EQ,2332.9,2350.0,2350.0,2280.0,2281.7,2287.1,2313.05,2881337,666000000000000.0,1240642.0,0.4306
3120,19-06-2008,RELIANCE,EQ,2287.1,2258.85,2270.05,2230.25,2252.05,2248.15,2248.27,2036997,458000000000000.0,753821.0,0.3701
3121,20-06-2008,RELIANCE,EQ,2248.15,2260.05,2260.05,2075.3,2103.0,2099.2,2145.2,5356849,1150000000000000.0,2379877.0,0.4443
3122,23-06-2008,RELIANCE,EQ,2099.2,2080.0,2082.9,1982.35,2030.05,2025.7,2026.76,5456421,1110000000000000.0,1723274.0,0.3158
3123,24-06-2008,RELIANCE,EQ,2025.7,2045.0,2133.0,2015.0,2043.15,2062.7,2074.48,5989228,1240000000000000.0,2704693.0,0.4516
3124,25-06-2008,RELIANCE,EQ,2062.7,1956.25,2148.0,1956.25,2145.0,2136.0,2100.96,4179505,878000000000000.0,1530043.0,0.3661
3125,26-06-2008,RELIANCE,EQ,2136.0,2145.0,2259.9,2136.0,2230.0,2239.55,2217.72,9536641,2110000000000000.0,4117841.0,0.4318
3126,27-06-2008,RELIANCE,EQ,2239.55,2176.0,2248.0,2135.25,2169.0,2182.65,2182.84,6517499,1420000000000000.0,2262516.0,0.3471
